codigo_tce;nome_municipio;fonte_url
001;Água Branca;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/001/despesas/despesas-2026.zip
002;Aguiar;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/002/despesas/despesas-2026.zip
003;Alagoa Grande;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/003/despesas/despesas-2026.zip
004;Alagoa Nova;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/004/despesas/despesas-2026.zip
005;Alagoinha;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/005/despesas/despesas-2026.zip
006;Alcantil;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/006/despesas/despesas-2026.zip
007;Algodão de Jandaíra;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/007/despesas/despesas-2026.zip
008;Alhandra;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/008/despesas/despesas-2026.zip
009;Amparo;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/009/despesas/despesas-2026.zip
010;Aparecida;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/010/despesas/despesas-2026.zip
011;Araçagi;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/011/despesas/despesas-2026.zip
012;Arara;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/012/despesas/despesas-2026.zip
013;Araruna;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/013/despesas/despesas-2026.zip
014;Areia;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/014/despesas/despesas-2026.zip
015;Areia de Baraúnas;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/015/despesas/despesas-2026.zip
016;Areial;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/016/despesas/despesas-2026.zip
017;Aroeiras;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/017/despesas/despesas-2026.zip
018;Assunção;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/018/despesas/despesas-2026.zip
019;Baía da Traição;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/019/despesas/despesas-2026.zip
020;Bananeiras;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/020/despesas/despesas-2026.zip
021;Baraúna;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/021/despesas/despesas-2026.zip
022;Barra de Santa Rosa;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/022/despesas/despesas-2026.zip
023;Barra de Santana;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/023/despesas/despesas-2026.zip
024;Barra de São Miguel;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/024/despesas/despesas-2026.zip
025;Bayeux;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/025/despesas/despesas-2026.zip
026;Belém;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/026/despesas/despesas-2026.zip
027;Belém do Brejo do Cruz;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/027/despesas/despesas-2026.zip
028;Bernardino Batista;https://download.tce.pb.gov.br/dados-abertos/dados-por-municipio/028/despesas/despesas-2026.zip
